FULL_NAME,PROFILE_TYPE,OFFICE,OFFICE_LEVEL,STATE,DISTRICT,PARTY,INCUMBENT,STATUS,PRIMARY_DATE,GENERAL_DATE,FEC_CANDIDATE_ID,BALLOTPEDIA_URL,WEBSITE,EMAIL,PHONE,BIOGRAPHY,PHOTO_URL,NOTES
Ann Johnson Stewart,politician,Minnesota State Senate,State,Minnesota,45,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ann_Johnson_Stewart,https://www.senate.mn/members/1227,,651-296-9261,,,
Ron Latz,politician,Minnesota State Senate,State,Minnesota,46,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Ron_Latz,https://www.senate.mn/members/1166,,651-297-8065,,,
Amanda Hemmingsen-Jaeger,politician,Minnesota State Senate,State,Minnesota,47,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Amanda_Hemmingsen-Jaeger,https://www.senate.mn/members/1281,,651-296-5537,,Succeeded Anderson via special election,
Julia Coleman,politician,Minnesota State Senate,State,Minnesota,48,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Julia_Coleman,https://www.senate.mn/members/1228,,651-296-4837,,,
Steve Cwodzinski,politician,Minnesota State Senate,State,Minnesota,49,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Steve_Cwodzinski,https://www.senate.mn/members/1229,,651-296-1314,,,
Alice Mann,politician,Minnesota State Senate,State,Minnesota,50,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Alice_Mann_(Minnesota),https://www.senate.mn/members/1264,,651-296-6238,,,
Melissa Halvorson Wiklund,politician,Minnesota State Senate,State,Minnesota,51,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Melissa_Halvorson_Wiklund,https://www.senate.mn/members/1230,,651-297-8061,,,
Jim Carlson,politician,Minnesota State Senate,State,Minnesota,52,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Jim_Carlson_(Minnesota),https://www.senate.mn/members/1199,,651-297-8073,,,
Matt Klein,politician,Minnesota State Senate,State,Minnesota,53,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Matt_Klein_(Minnesota),https://www.senate.mn/members/1231,,651-296-4370,,,
Eric Pratt,politician,Minnesota State Senate,State,Minnesota,54,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Eric_Pratt_(Minnesota),https://www.senate.mn/members/1200,,651-296-4123,,,
Lindsey Port,politician,Minnesota State Senate,State,Minnesota,55,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Lindsey_Port,https://www.senate.mn/members/1265,,651-296-5975,,,
Erin Maye Quade,politician,Minnesota State Senate,State,Minnesota,56,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Erin_Maye_Quade,https://www.senate.mn/members/1232,,651-296-4120,,,
Zach Duckworth,politician,Minnesota State Senate,State,Minnesota,57,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Zach_Duckworth,https://www.senate.mn/members/1233,,651-296-7633,,,
Bill Lieske,politician,Minnesota State Senate,State,Minnesota,58,Republican,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bill_Lieske,https://www.senate.mn/members/1234,,651-296-5019,,,
Bobby Joe Champion,politician,Minnesota State Senate,State,Minnesota,59,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Bobby_Joe_Champion,https://www.senate.mn/members/1201,,651-296-9246,,,
Doron Clark,politician,Minnesota State Senate,State,Minnesota,60,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Doron_Clark,https://www.senate.mn/members/1278,,651-296-7809,,Succeeded Dziedzic via special election Jan 2025,
D. Scott Dibble,politician,Minnesota State Senate,State,Minnesota,61,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/D._Scott_Dibble,https://www.senate.mn/members/1167,,651-296-4191,,,
Omar Fateh,politician,Minnesota State Senate,State,Minnesota,62,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Omar_Fateh,https://www.senate.mn/members/1235,,651-296-4261,,,
Zaynab Mohamed,politician,Minnesota State Senate,State,Minnesota,63,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Zaynab_Mohamed,https://www.senate.mn/members/1236,,651-296-4274,,,
Erin Murphy,politician,Minnesota State Senate,State,Minnesota,64,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Erin_Murphy_(Minnesota),https://www.senate.mn/members/1168,,651-296-5931,,Senate Majority Leader,
Sandra Pappas,politician,Minnesota State Senate,State,Minnesota,65,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Sandra_Pappas,https://www.senate.mn/members/1169,,651-296-1802,,,
Clare Oumou Verbeten,politician,Minnesota State Senate,State,Minnesota,66,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Clare_Oumou_Verbeten,https://www.senate.mn/members/1237,,651-296-8866,,,
Foung Hawj,politician,Minnesota State Senate,State,Minnesota,67,Democratic-Farmer-Labor,Yes,In Office,August 11 2026,November 3 2026,,https://ballotpedia.org/Foung_Hawj,https://www.senate.mn/members/1202,,651-296-5285,,,
